,Name,Score rank,Popularity rank,Score,Episodes,Type,Link,Premiered,English name,Japanese name,Synonyms,Status,Aired,Broadcast,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Members Favorites,Members Total,Members Watching,Members Completed,Members On-Hold,Members Dropped,Members Plan to Watch,Members score 10,Members score 9,Members score 8,Members score 7,Members score 6,Members score 5,Members score 4,Members score 3,Members score 2,Members score 1,F10
83,One Piece,84.0,31,8.55,,TV,https://myanimelist.net/anime/21/One_Piece,Fall 1999 ,One Piece,ONE PIECE,OP,Currently Airing ,"Oct 20, 1999 to ? ",Sundays at 09:30 (JST) ,"Fuji TV, TAP, Shueisha ","Funimation, 4Kids Entertainment ",Toei Animation ,Manga ,"Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen",24 min. ,PG-13 - Teens 13 or older ,116825,1486509,981847,26,202576,143970,158090,327877.0,182210.0,153841.0,91877.0,37776.0,20129.0,8668.0,3918.0,2796.0,6997.0,4493.2692307692305
351,Detective Conan,352.0,588,8.16,,TV,https://myanimelist.net/anime/235/Detective_Conan,Winter 1996 ,Case Closed,名探偵コナン,Meitantei Conan,Currently Airing ,"Jan 8, 1996 to ? ",Saturdays at 18:00 (JST) ,"Yomiuri Telecasting, Animax, YTV, TMS-Kyokuchi, Shogakukan ","Funimation, Crunchyroll ",TMS Entertainment ,Manga ,"Adventure, Mystery, Comedy, Police, Shounen",25 min. ,PG-13 - Teens 13 or older ,10543,267955,122724,9,58069,38047,49106,29153.0,26919.0,33396.0,22590.0,8270.0,3582.0,1077.0,445.0,276.0,510.0,1171.4444444444443
5,Ginga Eiyuu Densetsu,6.0,643,9.06,110.0,OVA,https://myanimelist.net/anime/820/Ginga_Eiyuu_Densetsu,,Legend of the Galactic Heroes,銀河英雄伝説,"LoGH, LotGH, Gin'eiden, GinEiDen, Heldensagen Vom Kosmosinsel",Finished Airing ,"Jan 8, 1988 to Mar 17, 1997 ",,"Kitty Films, K-Factory ",Sentai Filmworks ,"Artland, Magic Bus ",Novel ,"Military, Sci-Fi, Space, Drama",26 min. per ep. ,R - 17+ (violence & profanity) ,12875,245149,27155,55414,15731,6271,140578,32010.0,12176.0,7517.0,3766.0,1685.0,1025.0,508.0,291.0,521.0,2408.0,0.23234200743494424
13,Gintama,14.0,119,8.95,201.0,TV,https://myanimelist.net/anime/918/Gintama,Spring 2006 ,Gintama,銀魂,"Gin Tama, Silver Soul, Yorinuki Gintama-san",Finished Airing ,"Apr 4, 2006 to Mar 25, 2010 ",Thursdays at 18:00 (JST) ,"TV Tokyo, Aniplex, Dentsu, Trinity Sound, Audio Highs, Miracle Robo, Shueisha ","Sentai Filmworks, Crunchyroll ",Sunrise ,Manga ,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",24 min. per ep. ,PG-13 - Teens 13 or older ,47233,811554,158660,245249,93547,41945,272153,114532.0,80189.0,56762.0,29675.0,11938.0,6781.0,3081.0,1386.0,911.0,2926.0,0.1925920187238276
567,Black Clover,568.0,85,7.98,170.0,TV,https://myanimelist.net/anime/34572/Black_Clover,Fall 2017 ,Black Clover,ブラッククローバー,,Finished Airing ,"Oct 3, 2017 to Mar 30, 2021 ",Tuesdays at 18:25 (JST) ,"TV Tokyo, Avex Pictures, Shueisha ","Funimation, Crunchyroll ",Studio Pierrot ,Manga ,"Action, Comedy, Magic, Fantasy, Shounen",23 min. per ep. ,PG-13 - Teens 13 or older ,22038,997863,473878,151667,90699,97184,184435,71519.0,82924.0,120286.0,96412.0,41232.0,22911.0,13686.0,7205.0,4372.0,4992.0,0.1453051751534612
2,Steins;Gate,3.0,10,9.1,24.0,TV,https://myanimelist.net/anime/9253/Steins_Gate,Spring 2011 ,Steins;Gate,STEINS;GATE,,Finished Airing ,"Apr 6, 2011 to Sep 14, 2011 ",Wednesdays at 02:05 (JST) ,"Frontier Works, Media Factory, Movic, AT-X, Kadokawa Pictures Japan, Nitroplus ",Funimation ,White Fox ,Visual novel ,"Sci-Fi, Psychological, Drama, Thriller",24 min. per ep. ,PG-13 - Teens 13 or older ,148325,1920474,124425,1215783,66616,38922,474728,499900.0,297881.0,152722.0,62782.0,23231.0,12093.0,5571.0,2565.0,1945.0,5912.0,0.12199956735700368
30,Monster,31.0,159,8.78,74.0,TV,https://myanimelist.net/anime/19/Monster,Spring 2004 ,Monster,モンスター,,Finished Airing ,"Apr 7, 2004 to Sep 28, 2005 ",Wednesdays at 00:40 (JST) ,"VAP, Shogakukan-Shueisha Productions, Nippon Television Network ",VIZ Media ,Madhouse ,Manga ,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",24 min. per ep. ,R+ - Mild Nudity ,28437,681096,72867,233958,51536,24609,298126,86029.0,66483.0,47150.0,23816.0,9532.0,4684.0,2230.0,920.0,631.0,1238.0,0.12154745723591413
4,Hunter x Hunter (2011),5.0,11,9.07,148.0,TV,https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011,Fall 2011 ,Hunter x Hunter,HUNTER×HUNTER（ハンター×ハンター）,HxH (2011),Finished Airing ,"Oct 2, 2011 to Sep 24, 2014 ",Sundays at 10:55 (JST) ,"VAP, Nippon Television Network, Shueisha ",VIZ Media ,Madhouse ,Manga ,"Action, Adventure, Fantasy, Shounen, Super Power",23 min. per ep. ,PG-13 - Teens 13 or older ,146964,1898496,257581,1241291,92883,36560,270181,508513.0,349522.0,194297.0,76366.0,21628.0,9245.0,3334.0,1443.0,1185.0,4985.0,0.11839608923290348
67,Yojouhan Shinwa Taikei,68.0,460,8.6,11.0,TV,https://myanimelist.net/anime/7785/Yojouhan_Shinwa_Taikei,Spring 2010 ,The Tatami Galaxy,四畳半神話大系,"Yojo-Han Shinwa Taikei, Yojou-Han Shinwa Taikei, Yojohan Shinwa Taikei",Finished Airing ,"Apr 23, 2010 to Jul 2, 2010 ",Fridays at 00:45 (JST) ,"Dentsu, Kadokawa Shoten, Fuji TV, Toho, Asmik Ace, Tohokushinsha Film Corporation, Sony Music Entertainment, Fujipacific Music ",Funimation ,Madhouse ,Novel ,"Mystery, Comedy, Psychological, Romance",23 min. per ep. ,R - 17+ (violence & profanity) ,14277,332188,20630,121686,12461,7557,169854,32007.0,33026.0,24900.0,11377.0,4283.0,2014.0,1067.0,491.0,331.0,726.0,0.11732656180661703
303,Shoujo Kakumei Utena,304.0,966,8.2,39.0,TV,https://myanimelist.net/anime/440/Shoujo_Kakumei_Utena,Spring 1997 ,Revolutionary Girl Utena,少女革命ウテナ,Shoujo Kakumei Utena,Finished Airing ,"Apr 2, 1997 to Dec 24, 1997 ",Wednesdays at 18:00 (JST) ,"TV Tokyo, Audio Tanaka ","Nozomi Entertainment, Central Park Media ",J.C.Staff ,Original ,"Comedy, Drama, Fantasy, Mystery, Psychological, Shoujo",23 min. per ep. ,PG-13 - Teens 13 or older ,6109,165134,12993,54405,10278,5531,81927,11553.0,11029.0,11499.0,7988.0,3650.0,1895.0,968.0,415.0,279.0,455.0,0.11228747357779616
