,Name,Score rank,Popularity rank,Score,Episodes,Type,Link,Premiered,English name,Japanese name,Synonyms,Status,Aired,Broadcast,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Members Favorites,Members Total,Members Watching,Members Completed,Members On-Hold,Members Dropped,Members Plan to Watch,Members score 10,Members score 9,Members score 8,Members score 7,Members score 6,Members score 5,Members score 4,Members score 3,Members score 2,Members score 1,Members scored,F10
16370,Hataraku Maou-sama! 2nd Season,,1340,,,TV,https://myanimelist.net/anime/48413/Hataraku_Maou-sama_2nd_Season,? ,,はたらく魔王さま！,The Devil is a Part-Timer! 2nd Season,Not yet aired ,Not available ,,Infinite ,,,Light novel ,"Comedy, Demons, Supernatural, Romance, Fantasy",,PG-13 - Teens 13 or older ,991,115766,0,0,5,0,115761,,,,1.0,,,,,,,,inf
16399,JoJo no Kimyou na Bouken Part 6: Stone Ocean,,1382,,,Unknown,https://myanimelist.net/anime/48661/JoJo_no_Kimyou_na_Bouken_Part_6__Stone_Ocean,,,ジョジョの奇妙な冒険 ストーンオーシャン,JoJo's Bizarre Adventure Part 6: Stone Ocean,Not yet aired ,Not available ,,Warner Bros. Japan ,,,Manga ,"Action, Adventure, Shounen",,R - 17+ (violence & profanity) ,1932,110973,1,0,0,1,110971,1.0,,,,,,,,,,,inf
16402,Jujutsu Kaisen 0 Movie,,1283,,1.0,Movie,https://myanimelist.net/anime/48561/Jujutsu_Kaisen_0_Movie,,,劇場版 呪術廻戦 0,Gekijouban Jujutsu Kaisen 0,Not yet aired ,Not available ,,TOHO animation ,,MAPPA ,Manga ,"Action, Demons, Supernatural, Shounen",,,1106,123371,1,0,2,0,123368,2.0,,,,,,,,,,,inf
16418,Kimetsu no Yaiba: Yuukaku-hen,,1236,,,TV,https://myanimelist.net/anime/47778/Kimetsu_no_Yaiba__Yuukaku-hen,? ,,鬼滅の刃 遊郭編,,Not yet aired ,2021 to ? ,,,,ufotable ,Manga ,"Action, Historical, Demons, Supernatural, Shounen",,R - 17+ (violence & profanity) ,1194,129944,4,0,3,0,129937,1.0,1.0,,,,,,,,,,inf
16413,"Kanojo, Okarishimasu 2nd Season",,1280,,,TV,https://myanimelist.net/anime/42963/Kanojo_Okarishimasu_2nd_Season,? ,,彼女、お借りします,"Kanokari, Rent-a-Girlfriend 2nd Season",Not yet aired ,2022 to ? ,,,,,Manga ,"Comedy, Romance, School, Shounen",,PG-13 - Teens 13 or older ,1394,123257,1,0,4,0,123252,2.0,,1.0,,,,,,,,,inf
16422,Kobayashi-san Chi no Maid Dragon S,,1110,,,TV,https://myanimelist.net/anime/39247/Kobayashi-san_Chi_no_Maid_Dragon_S,Summer 2021 ,,小林さんちのメイドラゴンS,"Miss Kobayashi's Dragon Maid S, Kobayashi-san Chi no Maid Dragon 2nd Season, Miss Kobayashi's Dragon Maid 2nd Season, The maid dragon of Kobayashi-san 2nd Season",Not yet aired ,"Jul, 2021 to ? ",,"Lantis, Heart Company ",,Kyoto Animation ,Manga ,"Slice of Life, Comedy, Fantasy",,PG-13 - Teens 13 or older ,947,145161,4,0,4,1,145152,,1.0,1.0,,,,,,,,,inf
16205,Tate no Yuusha no Nariagari Season 3,,1163,,,TV,https://myanimelist.net/anime/40357/Tate_no_Yuusha_no_Nariagari_Season_3,? ,The Rising of the Shield Hero,盾の勇者の成り上がり,"Tate no Yuusha no Nariagari 3rd Season, The Rising of the Shield Hero 3rd Season",Not yet aired ,Not available ,,,,,Light novel ,"Action, Adventure, Drama, Fantasy",,PG-13 - Teens 13 or older ,988,137737,1,0,3,0,137733,1.0,,,,,,,,,,,inf
83,One Piece,84.0,31,8.55,,TV,https://myanimelist.net/anime/21/One_Piece,Fall 1999 ,One Piece,ONE PIECE,OP,Currently Airing ,"Oct 20, 1999 to ? ",Sundays at 09:30 (JST) ,"Fuji TV, TAP, Shueisha ","Funimation, 4Kids Entertainment ",Toei Animation ,Manga ,"Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen",24 min. ,PG-13 - Teens 13 or older ,116825,1486509,981847,26,202576,143970,158090,327877.0,182210.0,153841.0,91877.0,37776.0,20129.0,8668.0,3918.0,2796.0,6997.0,836089.0,4493.2692307692305
16204,Tate no Yuusha no Nariagari Season 2,,578,,,TV,https://myanimelist.net/anime/40356/Tate_no_Yuusha_no_Nariagari_Season_2,Fall 2021 ,The Rising of the Shield Hero Season 2,盾の勇者の成り上がり Season2,Tate no Yuusha no Nariagari 2nd Season,Not yet aired ,"Oct, 2021 to ? ",,Glovision ,,"Kinema Citrus, DR Movie ",Light novel ,"Action, Adventure, Drama, Fantasy",24 min. ,PG-13 - Teens 13 or older ,3569,272436,1,1,4,0,272430,2.0,,2.0,1.0,,1.0,,,,,,3569.0
351,Detective Conan,352.0,588,8.16,,TV,https://myanimelist.net/anime/235/Detective_Conan,Winter 1996 ,Case Closed,名探偵コナン,Meitantei Conan,Currently Airing ,"Jan 8, 1996 to ? ",Saturdays at 18:00 (JST) ,"Yomiuri Telecasting, Animax, YTV, TMS-Kyokuchi, Shogakukan ","Funimation, Crunchyroll ",TMS Entertainment ,Manga ,"Adventure, Mystery, Comedy, Police, Shounen",25 min. ,PG-13 - Teens 13 or older ,10543,267955,122724,9,58069,38047,49106,29153.0,26919.0,33396.0,22590.0,8270.0,3582.0,1077.0,445.0,276.0,510.0,126218.0,1171.4444444444443
16285,Arifureta Shokugyou de Sekai Saikyou 2nd Season,,1487,,,TV,https://myanimelist.net/anime/40507/Arifureta_Shokugyou_de_Sekai_Saikyou_2nd_Season,Winter 2022 ,,ありふれた職業で世界最強 2nd Season,From Common Job Class to the Strongest in the World 2nd Season,Not yet aired ,"Jan, 2022 to ? ",,studio MOTHER ,,Asread ,Light novel ,"Action, Adventure, Harem, Fantasy",,PG-13 - Teens 13 or older ,1058,100350,1,1,2,0,100346,1.0,1.0,1.0,,,,,,,,,1058.0
16209,Tensei shitara Slime Datta Ken 2nd Season Part 2,,1070,,,TV,https://myanimelist.net/anime/41487/Tensei_shitara_Slime_Datta_Ken_2nd_Season_Part_2,Summer 2021 ,,転生したらスライムだった件,"That Time I Got Reincarnated as a Slime Season 2, Tensura 2",Not yet aired ,"Jul 6, 2021 to ? ",Tuesdays at 23:00 (JST) ,,,8bit ,Light novel ,"Action, Adventure, Comedy, Demons, Magic, Fantasy",,PG-13 - Teens 13 or older ,1614,150207,4,2,4,0,150197,7.0,3.0,2.0,,,,,,,,,807.0
16171,Shingeki no Kyojin: The Final Season Part 2,,774,,,TV,https://myanimelist.net/anime/48583/Shingeki_no_Kyojin__The_Final_Season_Part_2,Winter 2022 ,Attack on Titan Final Season,進撃の巨人 The Final Season Part 2,"Shingeki no Kyojin Season 4, Attack on Titan Season 4",Not yet aired ,"Jan, 2022 to ? ",,,,,Manga ,"Action, Military, Mystery, Super Power, Drama, Fantasy, Shounen",,R - 17+ (violence & profanity) ,2251,209121,4,5,6,1,209105,5.0,1.0,2.0,,,,,,1.0,,,450.2
4571,Edens Zero,4664.0,1428,6.76,,TV,https://myanimelist.net/anime/42192/Edens_Zero,Spring 2021 ,Edens Zero,EDENS ZERO,,Currently Airing ,"Apr 11, 2021 to ? ",Sundays at 00:55 (JST) ,"Kodansha, Magic Capsule, Nippon Television Music ",,J.C.Staff ,Manga ,"Action, Adventure, Comedy, Fantasy, Sci-Fi, Shounen, Space",23 min. ,PG-13 - Teens 13 or older ,859,104668,46741,2,1983,3893,52049,1619.0,1154.0,2329.0,3716.0,2232.0,1258.0,662.0,370.0,270.0,390.0,14000.0,429.5
